機種名,メーカー,取得できなかった理由,試した情報源,URL,再調査が必要か
スマスロパリピ孔明,山佐,設定別出率・機械割のいずれも掲載を確認できなかった,DMMぱちタウン / P-WORLD,https://www.p-world.co.jp/machine/database/10518 | https://p-town.dmm.com/machines/5057,要
L 転生王女と天才令嬢の魔法革命,オリンピアエステート,設定別出率・機械割のいずれも掲載を確認できなかった,DMMぱちタウン / P-WORLD,https://www.p-world.co.jp/machine/database/10550 | https://p-town.dmm.com/machines/5086,要
モグモグ風林火山 大海戦の巻,ネット,設定別出率・機械割のいずれも掲載を確認できなかった,DMMぱちタウン / P-WORLD,https://www.p-world.co.jp/machine/database/10523 | https://p-town.dmm.com/machines/5059,要
